Default Dataset,,Dataset 1,
X,Y,X,Y
2020.0517769285252,7.171574631675952,,
2020.084870770923,6.508879836597163,,
2020.1463037828537,8.599536102103698,,
2020.148964074818,7.7292292392053525,,
2020.1023596343396,7.332471698766405,,
2020.2293398723746,9.479441937754597,,
2020.1995024467042,8.458751168399555,,
2020.199709637346,7.7196302664528,,
2020.2446826134653,10.584212598071838,,
2020.2761605176333,11.54722065153421,,
2020.3520791152955,12.532715187463218,,
2020.4091984996724,11.925797421564258,,
2020.4469966015045,12.966576449503393,,
2020.514925280388,13.76616267554103,,
2020.5693292856456,12.104075344667566,,
2020.6088308157714,11.158805075511172,,
2020.6438060055757,10.105934892738038,,
2020.6839200870822,9.233068303772345,,
2020.722918374883,8.450628960685854,,
2020.73764758038,7.205765258432674,,
2020.7526718617805,10.50013270710964,,
2020.7528889186435,9.725815571736849,,
2020.8081656553004,6.122601174746418,,
2020.8211311030252,5.30428874759108,,
2020.840329289237,4.37598809097938,,
2020.838757106914,3.6632643641021545,,
2020.8478364968266,2.880148170372852,,
2020.8656795575782,2.4401952525474044,,
