Default Dataset,,Dataset 1,
X,Y,X,Y
2016.0085685380134,5.721266346374534,2016.0520351614293,12.20363040492978
2016.0354974017214,4.826499878832642,2016.1345897793635,12.694031257332549
2016.062453283696,4.213543936705367,2016.2155322567796,13.667793715452879
2016.0457970787395,2.850817975851154,2016.2883277021715,14.732479776590466
2016.0505986396458,1.5250931834704673,2016.3302369425962,15.357212919902604
2016.1372162712594,6.09689866217872,2016.4111629763106,16.389635767066327
2016.1347465426534,5.111198300323245,2016.495920392529,16.923445307361206
2016.144646747344,8.42355493497352,2016.6177682223788,16.835454723796115
2016.144863804207,7.649237799600726,2016.7331536774473,16.09633382184936
2016.1376631072176,6.998107481219062,2016.8530331961995,15.12843740263337
2016.1266047178015,4.30559562412731,2016.9506446540636,14.582895784529812
2016.186643961573,6.100603528855146,2017.0923877186417,14.635690134668867
2016.2302863681605,8.444086071138706,2017.2472232585403,15.392409153328641
2016.2129407293862,7.109562220401511,2017.3941174771237,16.032980601682496
2016.2710647303704,9.511438513596449,2017.5536345389062,15.892195667978351
2016.3315861483234,10.544127998892186,2017.6681014487956,15.269222336337515
2016.3904540773228,11.728801219436715,2017.7805352594028,14.52423539548642
2016.453031929666,12.608707055087615,2017.878878461994,14.00215793300022
2016.5099106939642,13.295719247806213,2017.9944429185011,13.75327028234468
2016.5126633696345,12.506318012393692,2018.078274789222,13.82617676587004
2016.5786012980923,14.329482903862354,2018.1930429007452,14.160540983417382
2016.6429355427929,12.84319624661432,2018.3106588264989,14.494905200964723
2016.657463318365,12.189551911559366,2018.4169347996808,14.646249004696678
2016.7122792202808,11.54722065153421,2018.594248550976,14.230933450269454
2016.757851788578,10.165768489562298,2018.7472687062034,13.56220501517477
2016.7869654564622,9.253180437158651,2018.8729862088912,13.215270714260988
2016.8276495236526,8.604564135450275,2018.9334294979055,13.192644564201393
2016.8303625934927,7.504933242553978,2019.0463163324955,13.46541537325317
2016.8332425434146,6.71301799046817,2019.1908556485535,14.078416438756632
2016.8669133248334,5.9989255211799275,2019.3147556523797,14.571163706721135
2016.915799792341,5.08695200618531,2019.4190624374664,14.723680718233958
2016.942825673889,6.91891595601048,2019.5806009783155,14.395182539590955
2016.9537755348738,6.04780917871609,2019.6619216608715,14.019756049713237
2016.9829000214324,4.3919863789003095,2019.7994060416104,13.46164434824324
2017.0197723317838,5.027118409361048,2019.8925149790296,13.175046447488375
2017.0385364747426,3.55893267216069,2020.0068467216909,13.03426151378423
2017.0292981681982,2.6513726531036177,2020.0712284182164,13.03426151378423
2017.1062382486123,5.611766953493532,2020.2247254407941,13.298233264479501
2017.0729857949655,4.833539125517849,2020.370819508851,13.632597482026842
2017.0598834534237,4.164810690423167,2020.6115421472773,13.527008781748734
2017.148921613668,6.906917240069788,2020.6944019603156,12.928672813506124
2017.197768825575,7.44392643794885,2020.7699574810435,12.048766977855223
2017.216677438199,8.470483246208232,2020.8166888370017,11.274449842482433
2017.248916959819,9.35038908185913,2020.8501106607764,10.570525173961713
2017.292919894567,10.407742594366296,,
2017.3458414504205,11.255498024483797,,
2017.4016805932993,12.230614183889744,,
2017.3901453365327,11.239253609056396,,
2017.4398184707313,13.139850214062339,,
2017.5068035341153,13.861372999296076,,
2017.5345611603907,14.399875370714426,,
2017.5775947663276,13.296277918178054,,
2017.6350076768706,12.16902077539418,,
2017.6706600887856,11.409368737282236,,
2017.7110935069795,10.450857980313192,,
2017.7178716008343,11.55601970989072,,
2017.7605684945722,9.37092021802432,,
2017.7921848746405,7.924408351840643,,
2017.8299452943736,6.8279923529932205,,
2017.8483015251093,5.773007817735888,,
2017.8751680039427,4.74960964580961,,
2017.920459650569,3.944834231510441,,
2017.9406029502834,2.6362885530638884,,
2017.9587899193114,5.4846694438995165,,
2017.9878459402755,4.551969258109562,,
2018.0181909125456,3.5363065221010928,,
2018.0238576470733,2.5105877193994743,,
2018.0100992018324,1.5485573390878251,,
2018.0731966452524,5.076393136157495,,
2018.1027806884283,6.1389994198653675,,
2018.1400544343853,7.8322582134161145,,
2018.129290199302,6.799500164029286,,
2018.1792438454338,9.204471364113692,,
2018.153667517303,5.62545437760366,,
2018.2377084365903,10.39134434924735,,
2018.2199805031062,8.368246568161176,,
2018.202019400067,6.971710306149536,,
2018.2625971750704,9.479441937754597,,
2018.3028891774295,10.60572140738775,,
2018.3421034595772,11.889210719657193,,
2018.3248489189104,11.283248900838942,,
2018.4206686005605,12.614420729345087,,
2018.4394080779666,13.491812548322699,,
2018.5121934515912,14.592428097749364,,
2018.5439420993507,14.589599828991917,,
2018.5752327553143,13.107853638220487,,
2018.6254466381527,11.802393343872971,,
2018.6720667250627,10.547061018344355,,
2018.7272790376453,9.243124370465498,,
2018.734048956631,8.57137911536287,,
2018.7942340325462,7.4380603990445096,,
2018.8528790383389,6.0794857887995235,,
2018.839453742495,8.66992856895577,,
2018.844100732605,7.895611433582978,,
2018.844317789468,7.121294298210188,,
2018.8854266327107,4.675156075100688,,
2018.8878021720818,3.707259655884698,,
2018.8942260686013,2.9153444037988905,,
2018.907698393432,2.2642140854172226,,
2018.9910130803696,5.310888041358464,,
2018.9844970580111,4.3243669486211935,,
2019.000169550134,4.252801273988254,,
2019.056002495002,6.56695362175012,,
2019.0456972271252,5.138573148543493,,
2019.1278159773387,7.183865379856474,,
2019.1192005738767,6.311780929411359,,
2019.167675948841,8.271037923460696,,
2019.17650358568,7.332471698766405,,
2019.2311071994063,9.554527235730141,,
2019.255695257326,10.72090908041841,,
2019.2293717311252,8.370760584834464,,
2019.31620006714,11.525516307588155,,
