Aggravated Assault,,Temperature,
X,Y,X,Y
1981.1210489612558,-0.5015974440894571,1981.2262211932987,-1.1646594020994998
1981.2651108480238,-0.7460063897763582,1981.7650212114086,-1.3373331241442257
1981.4455003973337,-1.0910543130990424,1982.107695819796,-1.4221246006389787
1981.8398825838049,-1.5367412140575087,1982.189568312648,-1.1835481596792077
1982.091451646908,-1.8961661341853038,1982.305301602039,-0.9240479518484719
1982.5076304309043,-0.6022364217252401,1982.4193514028616,-0.672328084588468
1982.8216376640014,0.13099041533546307,1982.5517963784735,-0.4299132102921037
1983.0642383354145,0.907348242811501,1982.6625456798731,-0.18989616613418558
1983.6034770762717,0.1166134185303509,1982.779921077207,0.07034815723414001
1983.9278149884042,-0.45846645367412187,1982.8919271842246,0.3230747470713524
1984.1421481974019,-0.6022364217252401,1983.1217737951295,0.5021432374866874
1985.2407194174598,-0.2284345047923324,1983.0439700540048,0.6616813099041532
1985.9500170285917,-0.05591054313099075,1983.4387200994481,0.169407697683706
1986.198293897277,0.0015974440894566122,1983.6328584417215,-0.10879093450479216
1987.1588199996756,-0.14217252396166202,1983.7602529354049,-0.3316793130990421
1988.2307130925544,-0.8897763578274764,1983.9522814446311,-0.5882183744104674
1989.1425374223577,0.6341853035143767,1984.267075268403,-0.7858576277955276
1990.2360000648707,1.6549520766773158,1984.7901771716859,-0.8267272364217249
1991.2116248520133,-0.40095846645367494,1985.296873252178,-0.741358880735878
1992.2729602179659,0.18849840255591044,1985.5388082726688,-0.5026963109025564
1993.331116913446,1.1805111821086256,1985.768590741121,-0.29831713702520446
1994.4182222150143,-1.4936102236421736,1985.9934310179854,-0.069607199908718
1995.3914629993026,1.2523961661341851,1986.3952579426216,0.08875798722044692
1996.4698269570717,-0.3146964856230037,1986.9329752261017,0.053204872204472675
1997.42263343118,0.519169329073482,1987.422416372946,-0.05602036741214089
1998.4785196477512,1.798722044728434,1987.9125109131649,-0.24799321086262038
1999.520215371142,0.3753993610223638,1988.3155302763462,-0.24064184804313138
2000.5865457906941,0.3322683706070282,1988.5017173005738,0.07072644086921276
2001.5830589837983,0.13099041533546307,1988.710452063259,0.3502454236486927
2002.5097549504549,-0.2284345047923324,1988.85869712427,0.5805316255895332
2003.684614261851,-0.5159744408945688,1989.049362462061,0.8403784896546469
2004.5378602358053,-0.5734824281150166,1989.2072799707719,1.0733968507530802
2005.668785780315,0.20287539936102217,1989.56155034817,1.2879411988437548
2006.7574804171193,1.8274760383386577,1990.0689998089913,1.476216624828845
2007.7618267624591,0.6341853035143767,1990.3992759451019,1.4147281017039401
2008.8978608845136,0.7635782747603832,1990.547487105797,1.207343250798722
2009.722725872107,-0.19968051118210894,1990.7611999227631,0.9546415021679593
2010.8549001800166,0.41853035143769945,1991.0043185516017,0.660939435678424
2011.822578290978,-0.6309904153354635,1991.2674762862823,0.3792217068075687
2012.9102512122734,1.1230031948881782,1991.8154031383965,0.47858426517571884
2013.7666758567002,0.6629392971246006,1992.3514466532058,0.6550019968051117
,,1992.887471483866,0.8337859424920131
,,1993.3485388784975,0.8803937509508595
,,1993.5488266320417,0.6091303913738013
,,1993.6831007032852,0.3105283688954814
,,1993.8323108829595,-0.023375099840255764
,,1993.9850780375764,-0.2773868952533096
,,1994.1850594435252,-0.5589606629392971
,,1994.4279846169798,-0.7986987011258186
,,1994.3923277184028,-1.0267571884984026
,,1994.6929768292896,-0.4299445886581479
,,1994.79274226757,-0.17389973661189773
,,1994.8774825817327,0.025594762665449355
,,1994.9791813527008,0.22831469648562264
,,1995.0971028362515,0.4685082439525332
,,1995.1606742053473,0.6676484291799789
,,1995.3991870236423,0.883578655104214
,,1995.4317021136176,1.0626497603833864
,,1995.771770243752,0.6204501369237789
,,1995.9815834779974,0.3459776857028749
,,1996.154730973167,0.0743341902955259
,,1996.2522734811153,-0.12470985199191542
,,1996.5116481142861,-0.2672973242811505
,,1997.0238086743104,-0.16002396166134192
,,1997.4621047688615,0.020406349840255356
,,1997.6553659942174,0.295252595846645
,,1997.8002742706985,0.506154438612505
,,1997.9450166957909,0.738060175148334
,,1998.0978874184834,0.9718250798722043
,,1998.3294808046423,1.2046769613063542
,,1998.547459958032,1.3447098927430394
,,1998.8467095946783,1.0138451946273714
,,1998.97070235846,0.7797973242811498
,,1999.168102475689,0.530482478035144
,,1999.3622811735852,0.24717309447740687
,,1999.6216270447824,0.01983526357827481
,,2000.1746206070286,-0.09409944089456923
,,2000.7125691955475,-0.1589456869009589
,,2001.2500615597107,-0.16601437699680588
,,2001.6727182118686,-0.06746039669861581
,,2001.8335625982875,0.18774695181586987
,,2002.0061883783465,0.42413923436786805
,,2002.214568647299,0.6626148162939294
,,2002.4833981239153,0.9063443133842983
,,2002.6247676094008,1.0497837586845171
,,2002.8741340392314,0.6646191094249199
,,2002.9981457840045,0.42816743210862596
,,2003.1122987296278,0.15119974707135198
,,2003.2403372666338,-0.07959140375399354
,,2003.389076090776,-0.3538010611592881
,,2003.4948354333574,-0.5990288752282069
,,2003.733552542666,-0.8074081469648569
,,2004.28489128055,-0.8805211661341854
,,2004.7351632950354,-0.8417555720371208
,,2005.0016928027555,-0.6136710854469589
,,2005.216301314561,-0.3905204733650649
,,2005.4712015039895,-0.14323732028753966
,,2005.6940413815053,0.0981839057507985
,,2005.8388770240597,0.31828431652213585
,,2005.9832916797309,0.5916997090369689
,,2006.1524653616818,0.8233112733911452
,,2006.2670747109194,1.090105830670927
,,2006.4007967473888,1.3426650692225763
,,2006.5251166154455,1.5828167788680965
,,2006.755563754507,1.7889576677316288
